State,County,Population,Deaths,Premature_Death_Rate,Self_Reported_Poor_health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Low_Birthweight_percentage,Percentage_Smokers,Percentage_Adults_with_Obesity,Food Environment Index,Percentage_Physically_Inactive,Percentage__With Access to Exercise Opportunities,Percentage_Excessive Drinking,Percentage_Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Percentage_Uninsured,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,Percentage_With Annual Mammogram,Percentage_Vaccinated,High School Graduation Rate,Percentage_Some College,Percentage_Unemployed,Percentage_Children in Poverty,Percentage_Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,Presence of Water Violation,Percentage_ Severe Housing Problems,Percentage_ Drive Alone to Work,Percentage_Long Commute - Drives Alone,CalField_1,CalField_2,CalField_3,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Percentage_Frequent Physical Distress,Percentage_Frequent Mental Distress,Percentage_Adults with Diabetes,HIV Prevalence Rate,Percentage_Food Insecure,Percentage_ Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,Percentage_Insufficient Sleep,Other Primary Care Provider Rate,Percentage_Disconnected Youth,Average Grade Performance,Median Household Income,Percentage_ Enrolled in Free or Reduced Lunch,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Average Traffic Volume per Meter of Major Roadways,Percentage_Homeowners,Percentage_Housing Cost Burden,Percentage_less than 18 years of age,Percentage_ 65 and over,Percentage_ Not Proficient in English,Percentage_Female,Percentage_Rural,Health_Outcomes_Z-Score,Health_Outcomes_Rank,Health_Factor_Z-Score,Health_Factor_Rank,Length of Life_Z-Score,Length of Life_Rank,Quality of Life_Z-Score,Quality of Life_Rank,Health Behaviors_Z-Score,Health Behaviors_Rank,Clinical Care_Z-Score,Clinical Care_Rank,Social & Economic Factors_Z-Score,Social & Economic Factors_Rank,Physical Environment_Z-Score,Physical Environment_Rank
Louisiana,Natchitoches,2.566537484,638,11468,26,5.3,5.4,12,24,36,5.3,28,69,18,21,914.9,27,10,1774,3514,245,6439,40,42,80,56,5.8,33,51,12.6,638,76,9.6,Yes,18,84,24,1774:01:00,3514:01:00,245:01:00,74.7,515,112,14,17,18,16,352,22,14,,15,38,1841:01:00,8,2.6,36298,59,12,14,23,72,45,20,23.4,16.6,0,51.9,50.1,0.77,52,0.1,41,0.4,52,0.37,54,0.04,38,-0.05,22,0.07,42,0.04,53
Louisiana,Orleans,17.17704184,5831,10078,21,4.5,4.9,12,23,30,5.8,24,94,23,31,1192,27,10,1054,1401,185,5209,39,37,73,70,5,34,61,9.9,1025,112,9,Yes,26,68,29,1054:01:00,1401:01:00,185:01:00,76.9,446,76,7,14,16,11,1432,22,9,39,14,41,1321:01:00,9,2.7,38855,64,37,12,39,752,47,26,20,14.8,2,52.7,0.6,-0.02,32,-0.02,29,-0.02,31,0,39,0,30,-0.12,11,0.14,49,-0.04,14
Louisiana,Ouachita,5.394842223,2476,10098,23,5.1,5,12,21,40,6,31,78,18,27,1066.2,40,8,1199,1593,203,6507,42,43,83,55,5.2,30,48,12.4,1378,84,9.5,Yes,16,85,22,1199:01:00,1593:01:00,203:01:00,74.9,492,81,8,16,16,14,463,19,14,18,15,40,623:01:00,13,2.9,44371,60,12,13,18,191,59,14,24.9,14.8,0,52.1,24.2,0.17,43,-0.07,25,-0.01,32,0.19,45,0.04,39,-0.17,8,0.03,37,0.02,47
Louisiana,Plaquemines,8.129037779,295,7542,19,4.5,4.8,9,20,38,7.1,27,45,20,64,462.6,20,12,5837,3902,807,4466,38,33,91,60,4.6,20,39,7.3,148,70,8.9,Yes,14,83,35,5837:01:00,3902:01:00,807:01:00,78.2,388,53,,14,14,17,196,14,12,24,13,36,2601:01:00,,3.4,58643,60,,14,9,334,67,14,25.9,13.4,2,49.6,19.5,-1.22,6,-0.3,16,-0.78,8,-0.44,10,-0.08,17,0.1,53,-0.29,9,-0.03,18
Louisiana,Pointe Coupee,6.137738063,400,10915,20,4.5,4.9,11,20,31,7.3,26,34,18,53,642.2,39,10,3181,3134,914,4175,36,33,70,42,5.4,28,51,5.4,513,105,9.3,Yes,13,81,49,3181:01:00,3134:01:00,914:01:00,75.7,484,76,11,14,15,11,290,15,6,18,36,35,2194:01:00,14,2.5,46603,55,10,21,23,21,76,13,21.8,20.6,1,51.9,57.8,0.04,35,0.05,36,0.24,47,-0.2,23,-0.13,12,0.01,33,0.17,51,0,26
Louisiana,Rapides,2.812704301,2310,10883,22,4.6,5.3,11,22,40,6.2,31,80,17,29,796.1,41,10,1230,1865,202,5244,44,44,78,52,5.3,25,45,12.8,1014,91,9.3,Yes,16,83,19,1230:01:00,1865:01:00,202:01:00,74.4,521,60,6,14,16,15,461,17,16,25,20,37,625:01:00,11,2.7,48116,72,12,19,22,160,61,14,24.7,16.4,1,51.6,39.5,0.24,44,-0.13,23,0.23,43,0.01,40,0.04,40,-0.15,10,-0.02,30,0,25
Louisiana,Red River,4.177303319,181,12992,22,4.8,5.1,10,22,31,6.8,34,53,17,41,1030.9,49,9,4268,4239,1211,11679,34,32,84,43,4.4,33,48,8.2,508,79,9.4,Yes,12,84,38,4268:01:00,4239:01:00,1211:01:00,72.8,573,123,,15,16,16,196,16,9,,35,37,1060:01:00,,2.1,36865,77,,,,36,75,12,23.4,19.1,1,51.9,100,0.82,53,0.14,45,0.86,62,-0.04,36,0.01,32,0.14,58,-0.01,32,0,31
Louisiana,Richland,5.030770734,372,10287,25,5.3,5.4,13,23,36,6.5,34,44,17,13,872.1,41,10,1458,2244,215,9629,40,24,78,39,6.2,37,56,10.8,485,77,9.6,Yes,9,88,29,1458:01:00,2244:01:00,215:01:00,74.8,509,81,11,17,17,19,283,20,6,,24,38,748:01:00,16,2.4,35103,67,,11,14,40,65,11,23.3,17.6,0,51.2,66,0.59,47,0.26,49,0.05,35,0.54,58,0.02,34,0.04,46,0.18,54,0.02,42
Louisiana,Sabine,0.788774494,426,9348,20,4.8,4.9,10,21,46,7.1,37,26,19,23,487.1,40,13,8006,8011,751,7964,33,38,93,44,5.2,30,39,13.3,112,97,9.4,Yes,10,80,38,8006:01:00,8011:01:00,751:01:00,76.4,462,83,,15,15,11,75,14,12,,32,35,2403:01:00,15,2.7,36423,64,7,20,23,31,68,11,23.6,20.7,0,50.6,88.2,-0.43,19,0.11,42,-0.24,21,-0.2,24,0.04,41,0.22,61,-0.12,22,-0.03,17
Louisiana,St. Bernard,11.24874163,762,11365,23,4.9,5,10,23,43,6.4,33,57,20,16,590.9,33,10,4620,3594,261,6139,30,33,91,54,5,30,42,4.5,239,99,9,No,16,87,48,4620:01:00,3594:01:00,261:01:00,74.9,542,48,7,15,16,13,481,14,19,48,19,38,2225:01:00,14,2.9,43983,70,10,16,18,271,68,16,26.6,11.4,2,51,4.3,0.31,45,0,31,0.37,51,-0.07,33,0.05,43,0.09,52,-0.11,23,-0.03,16
Louisiana,St. Charles,11.28518322,640,7419,19,4,4.5,10,19,37,7,25,81,21,32,561.1,22,7,2931,2203,734,4636,44,40,82,64,4.4,22,41,8.5,333,67,9,No,13,88,46,2931:01:00,2203:01:00,734:01:00,77.8,357,46,6,12,13,11,282,11,18,20,12,35,2783:01:00,13,3.2,67585,52,7,13,13,114,80,11,24.4,13.6,1,50.9,11.5,-1.39,4,-0.7,4,-0.82,6,-0.57,5,-0.18,9,-0.16,9,-0.31,7,-0.05,11
Louisiana,St. Helena,3.361828835,211,12394,27,5.3,5.4,11,24,32,6.6,31,19,16,41,723.7,44,10,5182,10262,1140,9295,31,35,74,37,6.6,35,57,9.6,340,130,8.8,No,12,81,55,5182:01:00,10262:1,1140:01:00,74.1,554,111,,17,17,11,228,20,3,39,44,40,1026:01:00,,2.1,38699,88,13,,21,11,83,13,21.1,19.9,0,51.8,100,0.99,57,0.47,58,0.68,58,0.3,51,0.06,49,0.16,59,0.35,59,-0.1,2
Louisiana,St. James,12.03352531,338,9974,20,4.3,4.6,12,19,38,6.7,35,32,19,37,790.9,26,7,4273,3506,1753,4644,41,38,85,54,6.2,25,52,6.6,580,76,9.5,Yes,12,83,43,4273:01:00,3506:01:00,1753:01:00,76.1,449,81,14,13,14,9,408,17,10,,32,38,1912:01:00,,3.1,53903,58,11,9,16,5,77,11,22.6,17.2,0,51.7,27.7,-0.23,26,-0.16,21,-0.05,28,-0.18,26,-0.08,19,-0.12,12,0.03,35,0.01,40
Louisiana,St. John the Baptist,18.43668002,692,10642,22,4.5,4.7,12,21,43,6.4,32,82,18,32,732,27,9,3620,2699,345,4415,38,35,81,50,5.7,29,50,4.6,145,89,9.2,Yes,15,88,51,3620:01:00,2699:01:00,345:01:00,74.6,470,76,7,14,14,10,480,17,13,28,21,40,2056:01:00,,2.7,50830,67,25,9,24,84,76,14,24.6,14.2,1,51.2,13.4,0.09,38,-0.03,27,0.15,39,-0.06,34,-0.02,26,-0.06,21,0.01,33,0.04,54
Louisiana,St. Landry,2.576423924,1612,12667,25,5.1,5.6,11,24,34,6.2,32,52,18,35,601.2,51,10,1440,3311,465,6129,44,45,69,40,6.2,47,47,7.9,674,96,9.5,Yes,16,85,38,1440:01:00,3311:01:00,465:01:00,72.9,584,97,8,16,17,14,408,20,9,14,25,38,1182:01:00,15,2.7,36624,51,10,22,24,119,70,13,26.9,16.1,1,51.7,48.2,1.05,58,0.44,56,0.76,59,0.29,48,0.11,52,-0.09,18,0.38,60,0.04,55
Louisiana,St. Martin,4.83702932,891,9841,20,4.6,4.8,10,22,37,7.8,33,60,20,39,635,39,10,6019,5958,2553,4054,48,40,84,48,5.2,28,38,3.3,263,84,9.6,Yes,11,82,40,6019:01:00,5958:01:00,2553:01:00,75.8,475,85,9,14,15,15,242,15,2,10,22,38,3351:01:00,10,2.9,46229,69,13,19,22,73,78,8,24.2,15,1,50.8,49.6,-0.41,20,-0.11,24,-0.09,26,-0.32,14,-0.01,28,-0.05,24,-0.06,26,0.01,34
Louisiana,St. Mary,4.832411953,895,9744,24,4.9,5,10,22,38,6.2,37,89,18,22,704.3,42,11,1961,2489,803,5469,38,42,88,34,6.6,29,44,8.2,517,86,9,Yes,14,85,20,1961:01:00,2489:01:00,803:01:00,75.4,495,56,6,15,15,16,196,17,15,22,20,37,1508:01:00,13,3.2,39764,61,9,14,17,140,61,13,23.8,16.6,2,50.7,13,-0.14,27,0.06,37,-0.12,25,-0.02,37,0,29,0,30,0.08,45,-0.02,21
Louisiana,St. Tammany,5.80341382,3109,6977,16,4.1,4.7,9,18,30,8.4,22,81,21,28,388.2,18,9,1232,1284,420,5753,44,45,83,69,4.2,17,31,7.6,165,84,9.3,Yes,13,83,46,1232:01:00,1284:01:00,420:01:00,78.6,332,49,5,12,14,11,208,9,7,32,14,36,1132:01:00,6,3.3,67054,42,5,17,15,144,79,12,24,16.9,2,51.5,23.2,-1.6,2,-0.94,1,-0.95,2,-0.65,3,-0.38,1,-0.17,7,-0.39,3,0,33
Louisiana,Tangipahoa,5.133942255,2222,10665,22,4.6,5,11,22,39,6.7,34,68,20,38,821.2,40,10,2880,2267,471,7883,38,39,71,52,5.5,24,45,8.5,870,98,8.9,Yes,18,79,44,2880:01:00,2267:01:00,471:01:00,74.6,506,77,8,14,16,10,367,16,11,30,25,39,929:01:00,9,2.6,47128,47,10,16,18,111,68,16,24.5,14.4,1,51.6,40.9,0.05,37,0.16,46,0.16,41,-0.11,29,0.08,50,0.04,43,0.06,41,-0.02,22
Louisiana,Tensas,1.285897985,102,12381,35,6.4,6.2,9,28,31,4.4,33,15,12,33,606.7,50,11,,1487,892,5893,29,26,84,26,7.7,48,58,6.5,151,86,9.2,Yes,13,89,28,,1487:01:00,892:01:00,75.1,578,,,21,21,19,,26,17,,48,42,892:01:00,,2.3,28962,92,,,,7,66,15,22.9,24.4,0,51.6,100,1.4,61,0.78,62,0.68,57,0.72,61,0.22,60,0.12,54,0.44,62,0.02,43
Louisiana,Terrebonne,4.689706627,1737,9721,21,4.6,5.1,9,22,42,7,31,81,20,47,783.3,38,12,2437,1983,453,5609,40,44,82,46,5,23,40,5.4,404,92,8.7,Yes,13,82,26,2437:01:00,1983:01:00,453:01:00,75.6,467,63,7,14,16,11,230,14,12,32,18,38,1000:01:00,8,2.9,51665,54,9,14,16,172,71,11,25.3,14.4,2,50.8,20.6,-0.38,23,0.02,34,-0.12,23,-0.25,18,0.12,54,0.04,42,-0.07,25,-0.06,8
Louisiana,Union,7.519466073,439,10166,21,4.6,5,11,19,38,7.2,32,40,17,25,598.1,39,10,11286,11165,1015,8385,41,40,65,36,5.7,30,37,12.4,271,67,9.8,Yes,12,85,57,11286:1,11165:1,1015:01:00,75.5,498,60,,14,15,16,163,15,9,,29,36,2791:01:00,25,2.7,43584,58,,,11,32,82,5,21.9,20.6,1,50.5,82.9,-0.09,30,0.1,40,0.01,34,-0.1,30,-0.13,11,0.09,51,0.08,44,0.05,57
Louisiana,Vermilion,0.684851421,850,8480,21,4.7,5.1,10,20,39,8.1,34,60,20,40,389.1,39,11,3165,3739,2493,5217,41,40,94,45,5.3,25,34,5.2,387,73,9.4,No,14,81,40,3165:01:00,3739:01:00,2493:01:00,76.8,419,59,6,14,15,10,171,13,2,14,18,36,2301:01:00,10,3.1,48263,40,7,18,16,66,78,8,25.5,15.2,2,51.6,54.6,-0.67,16,-0.24,18,-0.5,10,-0.17,28,-0.06,21,0.02,36,-0.15,19,-0.06,5
Louisiana,Vernon,0.35289274,716,9195,20,4.6,4.9,8,20,35,6.2,32,66,22,50,729.4,56,8,3170,1810,611,8537,27,39,91,59,6.6,24,30,8.5,292,77,9.5,No,11,85,21,3170:01:00,1810:01:00,611:01:00,74.9,505,71,8,14,15,13,147,14,21,14,23,37,828:01:00,11,3.2,47664,61,7,22,19,54,53,12,24.8,12.2,1,46.7,49.9,-0.76,12,-0.13,22,-0.28,19,-0.48,8,0.06,47,0.04,45,-0.17,16,-0.06,4
Louisiana,Washington,7.361646254,1078,13484,26,5.2,5.3,12,23,43,7,37,39,16,35,757,41,10,2120,3882,656,7237,39,41,82,40,5.7,37,53,8.1,678,121,9.1,Yes,16,81,43,2120:01:00,3882:01:00,656:01:00,72.5,643,87,11,16,17,23,476,18,5,67,28,38,1792:01:00,13,2.6,36850,72,8,11,15,39,69,13,24.1,17.9,2,50.6,66.7,1.35,60,0.38,52,1.01,63,0.34,52,0.13,55,0.02,35,0.23,55,0,24
Louisiana,Webster,2.523277232,813,11660,23,5.1,5.4,12,23,33,5.9,31,51,16,30,901.5,46,9,1641,4311,422,6702,39,40,77,49,6.1,35,41,12.4,368,80,9.9,Yes,16,89,38,1641:01:00,4311:01:00,422:01:00,73.6,559,89,8,16,17,14,220,19,15,,21,39,1552:01:00,11,2.5,35070,44,4,19,19,57,67,15,22.6,19.8,0,51.4,53,0.82,54,0.09,39,0.46,55,0.36,53,0.02,35,-0.04,25,0.02,34,0.09,62
Louisiana,West Baton Rouge,4.75638051,369,8587,20,4.4,4.7,11,20,38,7.4,21,74,20,43,578.7,31,7,6566,6607,2202,5919,40,49,74,57,4.4,20,48,4.6,351,87,9,No,14,88,34,6566:01:00,6607:01:00,2202:01:00,78.1,426,75,8,13,14,9,507,15,6,15,24,40,1762:01:00,,3.1,58205,67,8,19,19,218,72,11,24.4,13.6,0,50.6,30.5,-0.69,15,-0.4,12,-0.47,11,-0.22,20,-0.11,13,-0.09,15,-0.14,20,-0.06,9
Louisiana,West Carroll,0.447227191,200,10912,21,4.8,5,11,21,47,7.3,29,33,19,25,500.9,45,11,3660,3661,1830,15450,37,25,93,36,9.2,34,35,18.2,402,104,9.6,Yes,5,85,29,3660:01:00,3661:01:00,1830:01:00,74.3,516,,,15,16,25,150,17,3,,34,36,1569:01:00,23,2.7,39332,92,,,,32,75,6,23.1,19,0,49.1,100,0.16,42,0.57,59,0.23,45,-0.07,32,0.05,45,0.28,63,0.26,57,-0.02,19
Louisiana,West Feliciana,11.96592313,285,8675,21,4.5,4.5,9,22,22,6.3,14,15,20,29,227.6,27,7,1398,2209,814,3945,34,46,91,46,4,19,43,5.2,261,88,9,No,13,90,47,1398:01:00,2209:01:00,814:01:00,77.9,480,,,14,14,8,1088,14,20,,15,39,3092:01:00,,3.1,60296,50,,19,13,37,71,11,16.2,15,0,34.6,100,-0.9,9,-0.69,6,-0.44,12,-0.46,9,-0.25,5,-0.2,4,-0.2,13,-0.03,15
Louisiana,Winn,3.587691459,291,11545,24,5.1,5.2,11,23,37,6,27,80,17,30,754.7,42,9,1789,2827,3534,11250,32,42,85,37,6.3,29,41,10.5,485,83,9.4,Yes,10,87,32,1789:01:00,2827:01:00,3534:01:00,74.1,552,106,,16,16,22,251,19,13,,21,38,1413:01:00,17,2.6,40133,75,,15,17,44,68,10,21,18.6,0,46.4,64.9,0.62,49,0.17,48,0.43,54,0.19,46,0.03,37,0.08,50,0.06,40,0,30
